Date,Number of New Cases
2010-01-31,143
2010-02-28,130
2010-03-31,120
2010-04-30,154
2010-05-31,153
2010-06-30,109
2010-07-31,131
2010-08-31,108
2010-09-30,153
2010-10-31,104
2010-11-30,112
2010-12-31,174
2011-01-31,152
2011-02-28,159
2011-03-31,172
2011-04-30,171
2011-05-31,184
2011-06-30,178
2011-07-31,204
2011-08-31,196
2011-09-30,253
2011-10-31,200
2011-11-30,212
2011-12-31,268
2012-01-31,212
2012-02-29,274
2012-03-31,313
2012-04-30,233
2012-05-31,273
2012-06-30,295
2012-07-31,278
2012-08-31,272
2012-09-30,316
2012-10-31,295
2012-11-30,284
2012-12-31,293
2013-01-31,380
2013-02-28,339
2013-03-31,370
2013-04-30,388
2013-05-31,415
2013-06-30,431
2013-07-31,449
2013-08-31,382
2013-09-30,427
2013-10-31,491
2013-11-30,384
2013-12-31,358
2014-01-31,448
2014-02-28,486
2014-03-31,498
2014-04-30,393
2014-05-31,495
2014-06-30,494
2014-07-31,585
2014-08-31,509
2014-09-30,565
2014-10-31,537
2014-11-30,492
2014-12-31,509
2015-01-31,536
2015-02-28,646
2015-03-31,667
2015-04-30,560
2015-05-31,748
2015-06-30,772
2015-07-31,682
2015-08-31,598
2015-09-30,694
2015-10-31,651
2015-11-30,627
2015-12-31,650
2016-01-31,802
2016-02-29,749
2016-03-31,734
2016-04-30,770
2016-05-31,739
2016-06-30,838
2016-07-31,761
2016-08-31,762
2016-09-30,762
2016-10-31,818
2016-11-30,754
2016-12-31,749
2017-01-31,841
2017-02-28,849
2017-03-31,968
2017-04-30,628
2017-05-31,1098
2017-06-30,1015
2017-07-31,854
2017-08-31,1104
2017-09-30,938
2017-10-31,919
2017-11-30,894
2017-12-31,993
2018-01-31,1021
2018-02-28,871
2018-03-31,914
2018-04-30,924
2018-05-31,950
2018-06-30,993
2018-07-31,859
2018-08-31,1047
2018-09-30,954
2018-10-31,1072
2018-11-30,945
2018-12-31,877
2019-01-31,1243
2019-02-28,1007
2019-03-31,1171
2019-04-30,838
2019-05-31,1089
2019-06-30,1002
2019-07-31,1105
2019-08-31,1225
2019-09-30,1034
2019-10-31,1147
2019-11-30,1059
2019-12-31,813
2020-01-31,1039
2020-02-29,1224
2020-03-31,549
2020-04-30,254
2020-05-31,185
2020-06-30,491
2020-07-31,523
2020-08-31,133
2020-09-30,1215
2020-10-31,735
2020-11-30,618
2020-12-31,1071
2021-01-31,888
2021-02-28,855
2021-03-31,1038
2021-04-30,1119
2021-05-31,644
2021-06-30,1495
2021-07-31,1045
2021-08-31,878
2021-09-30,981
2021-10-31,1136
2021-11-30,1267
2021-12-31,993
2022-01-31,874
2022-02-28,1054
2022-03-31,1537
2022-04-30,1197
2022-05-31,1308
2022-06-30,1466
2022-07-31,1346
2022-08-31,1347
2022-09-30,1347
2022-10-31,1383
2022-11-30,1251
