Date,Number of New Cases
2010-01-31,143.0
2010-02-28,130.0
2010-03-31,120.0
2010-04-30,154.0
2010-05-31,153.0
2010-06-30,109.0
2010-07-31,131.0
2010-08-31,108.0
2010-09-30,153.0
2010-10-31,104.0
2010-11-30,112.0
2010-12-31,174.0
2011-01-31,152.0
2011-02-28,159.0
2011-03-31,172.0
2011-04-30,171.0
2011-05-31,184.0
2011-06-30,178.0
2011-07-31,204.0
2011-08-31,196.0
2011-09-30,253.0
2011-10-31,200.0
2011-11-30,212.0
2011-12-31,268.0
2012-01-31,212.0
2012-02-29,274.0
2012-03-31,313.0
2012-04-30,233.0
2012-05-31,273.0
2012-06-30,295.0
2012-07-31,278.0
2012-08-31,272.0
2012-09-30,316.0
2012-10-31,295.0
2012-11-30,284.0
2012-12-31,293.0
2013-01-31,380.0
2013-02-28,339.0
2013-03-31,370.0
2013-04-30,388.0
2013-05-31,415.0
2013-06-30,431.0
2013-07-31,449.0
2013-08-31,382.0
2013-09-30,427.0
2013-10-31,491.0
2013-11-30,384.0
2013-12-31,358.0
2014-01-31,448.0
2014-02-28,486.0
2014-03-31,498.0
2014-04-30,393.0
2014-05-31,495.0
2014-06-30,494.0
2014-07-31,585.0
2014-08-31,509.0
2014-09-30,565.0
2014-10-31,537.0
2014-11-30,492.0
2014-12-31,509.0
2015-01-31,536.0
2015-02-28,646.0
2015-03-31,667.0
2015-04-30,560.0
2015-05-31,748.0
2015-06-30,772.0
2015-07-31,682.0
2015-08-31,598.0
2015-09-30,694.0
2015-10-31,651.0
2015-11-30,627.0
2015-12-31,650.0
2016-01-31,802.0
2016-02-29,749.0
2016-03-31,734.0
2016-04-30,770.0
2016-05-31,739.0
2016-06-30,838.0
2016-07-31,761.0
2016-08-31,762.0
2016-09-30,762.0
2016-10-31,818.0
2016-11-30,754.0
2016-12-31,749.0
2017-01-31,841.0
2017-02-28,849.0
2017-03-31,968.0
2017-04-30,628.0
2017-05-31,1098.0
2017-06-30,1015.0
2017-07-31,854.0
2017-08-31,1104.0
2017-09-30,938.0
2017-10-31,919.0
2017-11-30,894.0
2017-12-31,993.0
2018-01-31,1021.0
2018-02-28,871.0
2018-03-31,914.0
2018-04-30,924.0
2018-05-31,950.0
2018-06-30,993.0
2018-07-31,859.0
2018-08-31,1047.0
2018-09-30,954.0
2018-10-31,1072.0
2018-11-30,945.0
2018-12-31,877.0
2019-01-31,1243.0
2019-02-28,1007.0
2019-03-31,1171.0
2019-04-30,838.0
2019-05-31,1089.0
2019-06-30,1002.0
2019-07-31,1105.0
2019-08-31,1225.0
2019-09-30,1034.0
2019-10-31,1147.0
2019-11-30,1059.0
2019-12-31,813.0
2020-01-31,1039.0
2020-02-29,1224.0
2020-03-31,549.0
2020-04-30,254.0
2020-05-31,185.0
2020-06-30,491.0
2020-07-31,523.0
2020-08-31,133.0
2020-09-30,1215.0
2020-10-31,735.0
2020-11-30,618.0
2020-12-31,1071.0
2021-01-31,888.0
2021-02-28,855.0
2021-03-31,1038.0
2021-04-30,1119.0
2021-05-31,644.0
2021-06-30,1495.0
2021-07-31,1045.0
2021-08-31,878.0
2021-09-30,981.0
2021-10-31,1136.0
2021-11-30,1267.0
2021-12-31,993.0
2022-01-31,874.0
2022-02-28,1054.0
2022-03-31,1537.0
2022-04-30,1197.0
2022-05-31,1308.0
2022-06-30,1466.0
2022-07-31,1346.0
2022-08-31,1347.0
2022-09-30,1347.0
2022-10-31,1383.0
2022-11-30,1251.0
